Date,"Cat"
2017-03-17,8022
2017-03-18,6711
2017-03-19,7276
2017-03-20,9121
2017-03-21,8845
2017-03-22,12238
2017-03-23,9621
2017-03-24,8221
2017-03-25,6645
2017-03-26,8058
2017-03-27,10205
2017-03-28,9052
2017-03-29,11418
2017-03-30,9407
2017-03-31,9333
2017-04-01,7481
2017-04-02,7044
2017-04-03,11895
2017-04-04,8847
2017-04-05,9122
2017-04-06,9248
2017-04-07,7998
2017-04-08,6736
2017-04-09,6687
2017-04-10,8517
2017-04-11,12665
2017-04-12,35913
2017-04-13,8290
2017-04-14,6178
2017-04-15,5960
2017-04-16,6121
2017-04-17,8265
2017-04-18,12535
2017-04-19,8607
2017-04-20,8212
2017-04-21,7145
2017-04-22,6525
2017-04-23,6407
2017-04-24,7698
2017-04-25,7871
2017-04-26,7678
2017-04-27,7705
2017-04-28,7503
2017-04-29,5823
2017-04-30,16212
2017-05-01,7333
2017-05-02,8934
2017-05-03,8021
2017-05-04,7803
2017-05-05,7251
2017-05-06,5820
2017-05-07,6262
2017-05-08,7297
2017-05-09,7401
2017-05-10,10560
2017-05-11,7299
2017-05-12,7272
2017-05-13,6292
2017-05-14,11869
2017-05-15,75455
2017-05-16,9485
2017-05-17,8530
2017-05-18,8148
2017-05-19,7354
2017-05-20,6347
2017-05-21,6400
2017-05-22,7442
2017-05-23,10611
2017-05-24,7481
2017-05-25,7086
2017-05-26,6694
2017-05-27,5564
2017-05-28,6329
2017-05-29,6786
2017-05-30,7595
2017-05-31,7123
2017-06-01,6874
2017-06-02,6426
2017-06-03,5661
2017-06-04,6011
2017-06-05,6640
2017-06-06,7670
2017-06-07,8514
2017-06-08,6774
2017-06-09,6821
2017-06-10,5980
2017-06-11,6362
2017-06-12,7991
2017-06-13,11502
2017-06-14,6972
2017-06-15,16947
2017-06-16,6339
2017-06-17,5781
2017-06-18,6048
2017-06-19,7567
2017-06-20,8695
2017-06-21,7650
2017-06-22,8018
2017-06-23,6284
2017-06-24,6877
2017-06-25,5889
2017-06-26,12098
2017-06-27,10176
2017-06-28,6452
2017-06-29,6145
2017-06-30,6014
2017-07-01,5718
2017-07-02,6506
2017-07-03,6306
2017-07-04,6128
2017-07-05,6453
2017-07-06,6891
2017-07-07,6093
2017-07-08,6144
2017-07-09,6941
2017-07-10,6889
2017-07-11,6827
2017-07-12,7259
