Reporter Name,Reporter Code,Partner Name,Partner Code,Sector,Sector Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Austria,AUT,Burundi,BDI,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Manufacturing,D,565.50474,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Total Trade,GTT,604.66272,..,..,..,..,..,..,..,..,..
Austria,AUT,Cambodia,KHM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cambodia,KHM,Manufacturing,D,198.19746,163.52863,165.52781,199.73096,183.47023,191.50759,188.71226,147.84437,171.95883,124.33799
Austria,AUT,Cambodia,KHM,Total Trade,GTT,263.98264,247.83324,253.6023,240.58638,223.73303,227.97746,229.52472,193.9535,222.10846,184.68446
Austria,AUT,Cameroon,CMR,Agriculture,AB,..,1165.8757,..,..,..,..,..,..,..,..
Austria,AUT,Cameroon,CMR,Manufacturing,D,479.76884,506.17818,532.58751,558.99685,585.40619,609.35281,633.29944,657.24607,595.8375,..
Austria,AUT,Cameroon,CMR,Total Trade,GTT,555.89873,609.68369,624.8404,616.95145,609.06251,472.72698,336.39145,684.9392,617.99921,..
Austria,AUT,Canada,CAN,Agriculture,AB,293.79598,328.03116,323.47922,365.65038,305.42175,285.39113,334.97058,..,..,..
Austria,AUT,Canada,CAN,Manufacturing,D,133.14579,127.17968,125.44275,128.72378,120.69359,128.55761,127.7532,..,..,..
Austria,AUT,Canada,CAN,Total Trade,GTT,134.66723,129.47479,128.31454,131.3917,123.12229,130.39043,130.03659,..,..,..
Austria,AUT,Cayman Islands,CYM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cayman Islands,CYM,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cayman Islands,CYM,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Central African Republic,CAF,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Central African Republic,CAF,Manufacturing,D,..,..,537.46883,502.75288,468.03692,433.32097,398.60502,352.01044,410.62033,..
Austria,AUT,Central African Republic,CAF,Total Trade,GTT,..,..,574.33657,519.25898,464.18139,409.1038,361.93433,285.95564,321.30229,..
Austria,AUT,Chad,TCD,Agriculture,AB,713.8448,..,..,..,..,..,..,..,..,..
Austria,AUT,Chad,TCD,Manufacturing,D,389.97325,296.58774,527.83909,343.4636,348.60969,281.31567,300.57459,250.88287,337.86568,..
Austria,AUT,Chad,TCD,Total Trade,GTT,411.21277,334.82368,573.26144,376.72166,380.48074,308.55273,325.9956,265.30256,344.50737,344.13194
Austria,AUT,Chile,CHL,Agriculture,AB,284.14857,308.01103,316.68107,339.83306,294.79464,246.32654,276.10379,310.45129,276.74711,230.11468
Austria,AUT,Chile,CHL,Manufacturing,D,209.14488,144.40417,148.48493,156.31803,153.64148,149.45997,159.8316,155.59381,148.6564,141.2301
Austria,AUT,Chile,CHL,Total Trade,GTT,200.83817,150.50303,154.44784,161.65546,156.28617,153.31437,161.33475,158.41757,151.59525,143.24611
Austria,AUT,China,CHN,Agriculture,AB,408.86024,365.44993,379.21782,422.05592,388.35319,383.33533,394.78112,376.09781,388.6013,405.70256
Austria,AUT,China,CHN,Manufacturing,D,132.74028,121.39852,121.79483,126.97771,126.74539,124.04066,126.00276,128.71713,125.31761,121.77074
Austria,AUT,China,CHN,Total Trade,GTT,136.70914,125.69198,126.19677,131.17162,130.89449,128.01208,129.79663,132.44322,129.00818,125.39925
Austria,AUT,Colombia,COL,Agriculture,AB,373.87093,342.39918,373.71196,381.53595,380.66568,443.68116,400.59996,371.96333,400.73693,..
Austria,AUT,Colombia,COL,Manufacturing,D,269.71372,283.99577,257.00342,272.02594,257.02252,268.44953,250.42559,266.80714,303.20526,244.82149
Austria,AUT,Colombia,COL,Total Trade,GTT,268.35404,270.55746,256.0394,267.73373,256.37304,264.99511,250.6766,263.5465,279.04785,245.75446
Austria,AUT,Comoros,COM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Comoros,COM,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Comoros,COM,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Dem. Rep.",COD,Agriculture,AB,759.95267,845.34201,985.70577,877.19002,883.68873,934.83856,841.13238,847.71322,826.05074,..
Austria,AUT,"Congo, Dem. Rep.",COD,Manufacturing,D,377.9428,329.0651,300.9488,344.64022,313.30325,330.42591,341.08849,325.16256,389.55469,277.40154
Austria,AUT,"Congo, Dem. Rep.",COD,Total Trade,GTT,395.42458,352.20291,323.52282,368.49842,334.06238,351.24526,359.29802,341.98504,409.72801,295.52375
Austria,AUT,"Congo, Rep.",COG,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Rep.",COG,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Rep.",COG,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Costa Rica,CRI,Agriculture,AB,314.90244,395.64913,362.29259,406.66627,451.03995,495.41363,497.91031,500.407,470.93077,441.45454
Austria,AUT,Costa Rica,CRI,Manufacturing,D,275.03816,288.20826,296.17467,287.92453,294.67988,257.41926,305.59804,276.76225,300.18227,306.05885
Austria,AUT,Costa Rica,CRI,Total Trade,GTT,247.99213,288.10418,291.67455,295.45383,302.43094,262.81078,311.84276,282.30323,306.01749,309.71778
Austria,AUT,Côte d'Ivoire,CIV,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Côte d'Ivoire,CIV,Manufacturing,D,339.8892,341.71122,341.03952,335.65511,347.41326,329.1397,344.89537,328.62338,329.29035,264.63096
Austria,AUT,Côte d'Ivoire,CIV,Total Trade,GTT,364.21765,372.10882,369.33989,358.48422,338.10299,346.10413,362.69141,350.36506,349.85872,280.14876
Austria,AUT,Croatia,HRV,Agriculture,AB,136.40333,137.88941,136.99995,138.07136,119.959,109.85567,102.3345,101.74602,99.777144,98.331105
Austria,AUT,Croatia,HRV,Manufacturing,D,75.91552,69.205505,67.304567,67.867144,66.131217,64.054824,60.577021,61.552562,58.522679,54.563887
Austria,AUT,Croatia,HRV,Total Trade,GTT,78.69636,72.447072,70.552787,70.640368,68.889138,66.374246,62.737015,63.727582,60.872046,57.143882
Austria,AUT,Cuba,CUB,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cuba,CUB,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cuba,CUB,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cyprus,CYP,Agriculture,AB,228.95791,214.83114,241.02395,218.42991,192.60855,212.683,208.81752,212.57865,222.98684,206.13712
Austria,AUT,Cyprus,CYP,Manufacturing,D,168.00824,152.31761,149.40055,148.77072,129.67994,145.43739,148.7078,150.72962,144.00848,134.90673
Austria,AUT,Cyprus,CYP,Total Trade,GTT,165.80371,151.48559,149.52929,149.93597,130.90082,147.26306,151.12165,153.92587,147.75784,139.77177
Austria,AUT,Czech Republic,CZE,Agriculture,AB,70.846379,71.471914,72.829945,73.830613,71.995089,70.72456,64.871354,65.168523,64.929053,68.056312
Austria,AUT,Czech Republic,CZE,Manufacturing,D,48.867418,38.314098,30.151709,29.558902,22.388423,18.085881,20.24036,2.5462779,..,..
Austria,AUT,Czech Republic,CZE,Total Trade,GTT,49.670669,39.837807,33.363806,33.32486,28.495194,26.3431,26.581878,20.957101,9.2317542,..
Austria,AUT,Denmark,DNK,Agriculture,AB,120.56504,137.93792,138.99957,143.40309,123.56527,135.1412,125.99463,116.84806,151.17384,128.75695
Austria,AUT,Denmark,DNK,Manufacturing,D,97.497894,90.755235,87.546038,91.418026,92.082252,91.10623,94.29402,95.982434,93.146087,89.856157
Austria,AUT,Denmark,DNK,Total Trade,GTT,97.716746,92.015058,89.268355,93.082624,92.884551,92.337125,94.697096,96.539471,94.448284,90.814863
Austria,AUT,Djibouti,DJI,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Djibouti,DJI,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Djibouti,DJI,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Dominica,DMA,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Dominica,DMA,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Dominica,DMA,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Dominican Republic,DOM,Agriculture,AB,..,492.82889,563.41076,633.99263,704.57449,775.15636,..,..,..,..
Austria,AUT,Dominican Republic,DOM,Manufacturing,D,264.46587,264.9609,292.85411,330.19576,335.54851,341.22382,327.96767,331.87375,306.78783,..
Austria,AUT,Dominican Republic,DOM,Total Trade,GTT,271.33009,271.25279,301.18687,335.03169,340.29554,341.24068,334.0818,339.94455,315.08437,..
Austria,AUT,Ecuador,ECU,Agriculture,AB,461.60257,421.17732,335.58298,363.43739,389.14283,333.19502,342.23241,370.33422,487.6047,524.77435
Austria,AUT,Ecuador,ECU,Manufacturing,D,296.85222,291.81915,323.35966,291.64762,318.65979,320.7423,333.30169,360.31739,329.54379,304.02755
Austria,AUT,Ecuador,ECU,Total Trade,GTT,261.02945,223.49033,256.12117,248.3109,250.90246,256.98261,248.0981,288.76072,313.46981,293.27648
Austria,AUT,"Egypt, Arab Rep.",EGY,Agriculture,AB,350.6532,345.58176,313.95213,282.67491,302.58662,237.32483,226.27548,231.92512,281.68661,250.60785
Austria,AUT,"Egypt, Arab Rep.",EGY,Manufacturing,D,194.7055,156.22787,174.7569,190.0136,191.84946,187.58983,193.94508,203.62784,196.33419,184.14482
Austria,AUT,"Egypt, Arab Rep.",EGY,Total Trade,GTT,200.42509,164.08977,183.1243,196.32281,199.2469,193.51797,197.46174,205.60487,198.11433,189.22126
Austria,AUT,El Salvador,SLV,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,El Salvador,SLV,Manufacturing,D,335.10298,315.73109,298.72088,323.59359,315.90302,604.46732,308.32382,330.29623,317.39958,337.68854
Austria,AUT,El Salvador,SLV,Total Trade,GTT,344.68055,326.88196,302.5942,331.32923,323.67266,616.46866,312.61671,327.04983,289.38586,277.17266
Austria,AUT,Equatorial Guinea,GNQ,Agriculture,AB,..,..,..,643.24974,..,..,..,..,..,..
Austria,AUT,Equatorial Guinea,GNQ,Manufacturing,D,509.11651,642.29927,616.87836,764.19738,317.24147,403.40911,481.72165,693.78696,411.21406,..
Austria,AUT,Equatorial Guinea,GNQ,Total Trade,GTT,514.5586,648.74362,623.54396,619.04242,321.20588,407.59439,486.6794,699.14865,414.81352,..
Austria,AUT,Eritrea,ERI,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Eritrea,ERI,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Eritrea,ERI,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Estonia,EST,Agriculture,AB,273.10915,273.09171,328.25635,341.46293,319.88087,270.33741,283.37807,224.90143,257.75023,289.98212
Austria,AUT,Estonia,EST,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Estonia,EST,Total Trade,GTT,86.208212,66.799609,..,..,..,..,..,..,..,..
Austria,AUT,Ethiopia,ETH,Agriculture,AB,1184.8067,1235.206,828.30042,821.56602,814.83162,808.09722,801.36282,794.62842,787.89402,..
Austria,AUT,Ethiopia,ETH,Manufacturing,D,285.32625,316.6721,373.56612,308.52911,239.11959,292.92645,301.16491,317.42544,324.01994,339.15118
Austria,AUT,Ethiopia,ETH,Total Trade,GTT,345.82407,381.5852,368.81867,349.55167,290.5434,346.50019,353.46798,351.15698,366.87575,372.07832
Austria,AUT,Faeroe Islands,FRO,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Faeroe Islands,FRO,Manufacturing,D,336.51698,..,..,..,..,..,..,..,..,..
Austria,AUT,Faeroe Islands,FRO,Total Trade,GTT,367.31545,..,..,..,..,..,..,..,..,..
Austria,AUT,Fiji,FJI,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Fiji,FJI,Manufacturing,D,338.53609,373.05569,395.9811,407.20351,405.07554,343.43637,353.81823,390.64037,358.326,340.42415
Austria,AUT,Fiji,FJI,Total Trade,GTT,355.12311,392.30609,415.54367,427.76707,425.17562,359.90197,359.81851,410.91304,378.61166,360.60226
Austria,AUT,Finland,FIN,Agriculture,AB,312.63741,266.46109,266.3256,249.10582,223.88811,259.6431,264.91405,266.68787,330.46407,301.28948
Austria,AUT,Finland,FIN,Manufacturing,D,113.90168,106.87455,105.93425,104.96535,106.03893,106.76146,109.89628,108.79716,105.7798,100.30061
Austria,AUT,Finland,FIN,Total Trade,GTT,116.37542,109.90281,109.18723,108.27323,109.2053,110.03348,112.66883,111.62134,108.78218,103.51943
Austria,AUT,France,FRA,Agriculture,AB,126.63276,144.18984,138.86507,146.99837,129.04144,131.65045,134.67233,122.94402,130.36958,129.0445
Austria,AUT,France,FRA,Manufacturing,D,79.120017,70.694947,67.41776,68.377724,67.57302,66.638915,69.190102,70.079583,64.085734,61.947286
Austria,AUT,France,FRA,Total Trade,GTT,80.551269,72.977155,69.791127,70.654135,69.432473,68.641365,71.085137,71.79978,66.264663,64.430485
Austria,AUT,French Polynesia,PYF,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,French Polynesia,PYF,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,French Polynesia,PYF,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Gabon,GAB,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Gabon,GAB,Manufacturing,D,396.93519,..,..,..,..,..,..,..,..,..
Austria,AUT,Gabon,GAB,Total Trade,GTT,402.20666,..,..,..,..,..,..,..,..,..
Austria,AUT,"Gambia, The",GMB,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Gambia, The",GMB,Manufacturing,D,463.77615,463.22734,462.67853,462.12971,461.5809,461.03209,..,..,..,..
